var,sex,year,mode,sd1,sd2
ppp,m,2039,0.131483694921187,0.260198196231541,0.688938510138538
ppp,m,2040,0.127787283611896,0.257713947685093,0.677476263584794
ppp,m,2041,0.12428993697815,0.257004994535618,0.674165387253765
ppp,m,2042,0.120958477574032,0.255553469371667,0.664477823737272
ppp,m,2043,0.117766712679071,0.250685526734408,0.662934913295114
lle,f,2020,0.0480432374110331,0.234661348987938,0.0896777862662031
lle,f,2021,0.00896721789974483,0.941815993291145,0.360824837951047
lle,f,2022,0.00746028038796708,0.0535911827234823,0.141783851073904
lle,f,2023,-0.0305165356416488,0.0720675873623765,0.190113355060559
lle,f,2024,-0.226919187351552,0.905667212989931,2.36710037606041
lle,f,2025,-0.608461965219194,1.08021621490582,2.85538264000775
lle,f,2026,-0.990004743086818,1.25806514715961,3.32568856696691
lle,f,2027,-0.459428522153902,0.726610618922386,1.91981850105593
lle,f,2028,-0.651087219873458,0.82239998950192,2.14966376178759
lle,f,2029,-0.412116864560758,0.614241436660381,1.59505292282129
lle,f,2030,-0.540480868897651,0.668716601786072,1.7557864208922
lle,f,2031,-0.668844873234513,0.729199196586484,1.92483430405873
lle,f,2032,-0.486952310981194,0.595835609935167,1.56447647321396
lle,f,2033,-0.583668968626731,0.643206426270219,1.68852158660256
lle,f,2034,-0.680385626272249,0.690158495256528,1.80705619241684
lle,f,2035,-0.777102283917764,0.731046769279183,1.93179702057134
lle,f,2036,-0.8738189415633,0.780539434156057,2.04203622755017
lle,f,2037,-0.970535599208814,0.821164963931148,2.16561236593075
lle,f,2038,-0.767167868811377,0.696486293386151,1.83260087050192
lle,f,2039,-0.844896118442104,0.735079010169354,1.94638991183251
lle,f,2040,-0.92262436807281,0.775218820751697,2.03184276209203
lle,f,2041,-1.00035261770354,0.820447215152552,2.11445345034923
lle,f,2042,-1.07808086733425,0.845122639099083,2.2239889219515
lle,f,2043,-1.15580911696495,0.88836946496922,2.32688717608471
lle,m,2020,-1.41209734726175,0.475273925902037,0.180858247598276
lle,m,2021,0.155459111608373,0.0365606275410303,0.0954628766460847
lle,m,2022,0.117175805676228,0.0542507287267984,0.142572263602899
lle,m,2023,1.30823874088294,0.730900285544872,1.91715849032506
lle,m,2024,0.72035535093461,0.460237134562326,1.20915227497898
lle,m,2025,0.526934459706753,0.549150388951955,1.44828744759318
lle,m,2026,0.39344259856617,0.426217392467631,1.13067326659635
lle,m,2027,0.263827217225195,0.492770319397573,1.29073587651717
